fhrs_address,fhrs_lat,fhrs_lng,matched_address2,matched_lat,matched_lng
"Bangura african food, Unit 18, 137, Rye Lane, London, SE15 4ST",51.469866,-0.068008,"CELESTIAL CHURCH OF CHRIST-BORN AGAIN PARISH, 133 RYE LANE, LONDON, SE15 4ST",51.46993345,-0.067389267
"Bar story, Arch 213, Blenheim Grove, London, SE15 4QL",51.469437,-0.070302,"BAR STORY, 26 BLENHEIM GROVE, LONDON, SE15 4QL",51.46958126,-0.069865411
"Barry's deli, 3 Station Way, London, SE15 4RX",51.469985,-0.069227,"3 STATION WAY, LONDON, SE15 4RX",51.46997522,-0.06921525
"Barsat cash and carry, 82 Rye Lane, London, SE15 4RY",51.470033,-0.068865,"BARSAT CASH & CARRY, 82 RYE LANE, LONDON, SE15 4RY",51.46986879,-0.068758991
"Belgo club, 56 Peckham High Street, London, SE15 5DP",51.473214,-0.070891,"CLUB 56, 56 PECKHAM HIGH STREET, LONDON, SE15 5DP",51.47309023,-0.070523676
"Bellenden primary school, Bellenden Junior And Infant Sc, Reedham Street, London, SE15 4PF",51.466666,-0.070822,"BELLENDEN JUNIOR & INFANT SCHOOL, REEDHAM STREET, LONDON, SE15 4PF",51.46699579,-0.070680002
"Bims african food ltd, 122 Rye Lane, London, SE15 4RZ",51.46907,-0.068229,"BIMS AFRICAN FOOD STORE, 102 RYE LANE, LONDON, SE15 4RZ",51.46924209,-0.068382303
"Bims african store, 102 Rye Lane, London, SE15 4RZ",51.469024,-0.068174,"BIMS AFRICAN FOOD STORE, 102 RYE LANE, LONDON, SE15 4RZ",51.46924209,-0.068382303
"Binder off licence, 149 Peckham High Street, London, SE15 5SL",51.474167,-0.066488,"BINDER LONDON LTD, 149 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47415662,-0.066475523
"Bit by bit, 4 Atwell Road, London, SE15 4TW",51.46823,-0.066954,"LADIES BIT BY BIT, 2 ATWELL ROAD, LONDON, SE15 4TW",51.46819488,-0.067044328
"Black elderly group southwark (b e, 86 Bellenden Road, London, SE15 4RQ",51.470367,-0.073272,"BLACK ELDERLY GROUP SOUTHWARK, ELIM HOUSE, 86 BELLENDEN ROAD, LONDON, SE15 4RQ",51.4700266,-0.07343185
