classification_code,classification_desc,fhrs_address,matched_address,matched_lat,matched_lng,uprn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR05,Petrol Filling Station,"Bp  connect, 95 Peckham Road, London, SE15 5LJ","BRITISH PETROLEUM CO PLC, PECKHAM SERVICE CENTRE, 95 PECKHAM ROAD, LONDON, SE15 5LJ",51.47455405,-0.076423488,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Brayards chicken, 128 Brayards Road, London, SE15 2BU","BRAYARDS CHICKEN, 128 BRAYARDS ROAD, LONDON, SE15 2BU",51.46952864,-0.056880284,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE03PS,Primary School,"Breakfast club, Oliver Goldsmith Primary Schoo, Peckham Road, London, SE5 8UH","OLIVER GOLDSMITH PRIMARY SCHOOL, 83 PECKHAM ROAD, LONDON, SE5 8UH",51.47472285,-0.077942787,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI04,Warehouse / Store / Storage Depot,"Brick brewery, Railway Arch 209, Blenheim Grove, London, SE15 4QL","RAILWAY ARCH 209, BLENHEIM GROVE, LONDON, SE15 4QL",51.46939919,-0.070823386,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR07,Restaurant / Cafeteria,"Burger king, 46 Peckham High Street, London, SE15 5DP","BURGER KING (UK) LTD, 46 PECKHAM HIGH STREET, LONDON, SE15 5DP",51.47322101,-0.070820548,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Butt seafood ltd, 30 Rye Lane, London, SE15 5BS","UK FOODS, 30 RYE LANE, LONDON, SE15 5BS",51.47189645,-0.070113274,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Cafe al ayaan, Unit 17, 137 Rye Lane, London, SE15 4ST","FLAT 9, THALIA COURT, 137 RYE LANE, LONDON, SE15 4ST",51.46945584,-0.067710951,10013525748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Cafe culture, 42 Peckham Road, London, SE5 8PX","CULTURE CAFE, 42 PECKHAM ROAD, LONDON, SE5 8PX",51.47340947,-0.0812091,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Cafe spice, 88 Rye Lane, London, SE15 4RZ","CAFE SPICE, 88 RYE LANE, LONDON, SE15 4RZ",51.46959517,-0.068525773,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Dual Use,"Cafe viva ltd, 44 Choumert Road, London, SE15 4SE","CAFE VIVA, 44 CHOUMERT ROAD, LONDON, SE15 4SE",51.46812118,-0.069120746,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Cafe world, 131 Peckham High Street, London, SE15 5SL","CAFE WORLD, 131 PECKHAM HIGH STREET, LONDON, SE15 5SL",51.47417747,-0.067194634,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE05,University,"Camberwell college of art & design - senior common room club, 45 Peckham Road, London, SE5 8UF","CAMBERWELL COLLEGE OF ARTS, 45 PECKHAM ROAD, LONDON, SE5 8UF",51.47411664,-0.079912243,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL06,Indoor / Outdoor Leisure / Sporting Activity / Centre,"Canavans peckham pool club, 188 Rye Lane, London, SE15 4NF","CANAVANS SNOOKER CLUB, 188 RYE LANE, LONDON, SE15 4NF",51.46719193,-0.066755569,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO01,Office / Work Studio,"Capital catering, Peckham Bus Garage, Blackpool Road, London, SE15 3SU","BUILDBASE LTD, 1 BLACKPOOL ROAD, LONDON, SE15 3SU",51.468823,-0.063691805,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Carnation supermarket, 151a Rye Lane, London, SE15 4TL","COSY PRICE SUPERMARKET, 151A RYE LANE, LONDON, SE15 4TL",51.46896064,-0.06767428,10009801196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04,Secondary / High School,"Chartwells, Harris Primary Free School Pec, 112 Peckham Road, London, SE15 5DZ","THE ACADEMY AT PECKHAM, 112 PECKHAM ROAD, LONDON, SE15 5DZ",51.47293749,-0.073813195,10013531193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD06,Self Contained Flat (Includes Maisonette / Apartment),"Chartwells, Hollydale Road Primary School, Hollydale Road, London, SE15 2AR","247A HOLLYDALE ROAD, LONDON, SE15 2AR",51.46724748,-0.052182769,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE01FE,Further Education,"Chartwells, St Thomas The Apostle College, Hollydale Road, London, SE15 2EB","ST. THOMAS THE APOSTLE COLLEGE, HOLLYDALE ROAD, LONDON, SE15 2EB",51.47074267,-0.056339141,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Dual Use,"Cheung's, 289 Rye Lane, London, SE15 4UA","CHEUNG TAKE AWAY, 289 RYE LANE, LONDON, SE15 4UA",51.46587938,-0.065688062,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Chick chicken, 117 Peckham High Street, London, SE15 5SE","CHICK KING, 117 PECKHAM HIGH STREET, LONDON, SE15 5SE",51.47410657,-0.068349616,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"China ho lok, 30 Ivanhoe Road, London, SE5 8DJ","SEASON CHINESE, 30 IVANHOE ROAD, LONDON, SE5 8DJ",51.46542677,-0.079729959,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Christine's meat shop, 211 Rye Lane, London, SE15 4TP","LOBA MEAT, 211 RYE LANE, LONDON, SE15 4TP",51.46761877,-0.066463969,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Dual Use,"Cod fella, 125 Bellenden Road, London, SE15 4QY","COD FELLAS, 125 BELLENDEN ROAD, LONDON, SE15 4QY",51.46776841,-0.072274364,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Convenience store, 64 Nunhead Lane, London, SE15 3QE","NUNHEAD MINI MARKET, 64 NUNHEAD LANE, LONDON, SE15 3QE",51.46451685,-0.058878401,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR08,Shop / Showroom,"Copeland park cafe, The Clf Art Cafe, 133 Copeland Road, London, SE15 3SN","BABOO (WHOLESALE MEATS) LTD, UNIT 8, INDUSTRIAL PARK, 133 COPELAND ROAD, LONDON, SE15 3SN",51.47000756,-0.065765147,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,Community Services,"Copleston centre, Copleston Centre, Copleston Road, London, SE15 4AN","COPLESTON CENTRE, COPLESTON ROAD, LONDON, SE15 4AN",51.46582254,-0.076992274,2.00003E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
