fhrs_address,DPA_MATCH_DESCRIPTION,DPA_UPRN,plot_address,plot_lng,plot_lat
"Cafe culture, 42 Peckham Road, London, SE5 8PX",EXACT,2.00E+11,"CULTURE CAFE, 42, PECKHAM ROAD, LONDON, SE5 8PX",-0.0812091,51.47340947
"Cafe spice, 88 Rye Lane, London, SE15 4RZ",EXACT,2.00E+11,"CAFE SPICE, 88, RYE LANE, LONDON, SE15 4RZ",-0.068525773,51.46959517
"Cafe viva ltd, 44 Choumert Road, London, SE15 4SE",EXACT,2.00E+11,"CAFE VIVA, 44, CHOUMERT ROAD, LONDON, SE15 4SE",-0.069120746,51.46812118
"Cafe world, 131 Peckham High Street, London, SE15 5SL",EXACT,2.00E+11,"CAFE WORLD, 131, PECKHAM HIGH STREET, LONDON, SE15 5SL",-0.067194634,51.47417747
"Camberwell college of art & design - senior common room club, 45-65 Peckham Road, London, SE5 8UF",GOOD,2.00E+11,"56A, PECKHAM ROAD, LONDON, SE5 8PX",-0.079890582,51.47360371
"Canavans peckham pool club, 188 Rye Lane, London, SE15 4NF",GOOD,2.00E+11,"CANAVANS SNOOKER CLUB, 188, RYE LANE, LONDON, SE15 4NF",-0.066755569,51.46719193
"Capital catering, Peckham Bus Garage, Blackpool Road, London, SE15 3SU",GOOD,2.00E+11,"LONDON CENTRAL BUS CO LTD, PECKHAM BUS GARAGE, BLACKPOOL ROAD, LONDON, SE15 3SU",-0.064252998,51.46930717
"Carnation supermarket, 151a Rye Lane, London, SE15 4TL",GOOD,2.00E+11,"151A, PECKHAM RYE, LONDON, SE15 3UL",-0.062314493,51.46157014
"Chartwells, Harris Primary Free School Pec, 112 Peckham Road, London, SE15 5DZ",PARTIAL,2.00E+11,"SCHOOL HOUSE, PECKHAM ROAD, LONDON, SE15 5DZ",-0.074051396,51.47377772
"Chartwells, Hollydale Road Primary School, Hollydale Road, London, SE15 2AR",GOOD,2.00E+11,"HOLLYDALE PRIMARY SCHOOL, HOLLYDALE ROAD, LONDON, SE15 2AR",-0.052538478,51.46768504
"Chartwells, St Thomas The Apostle College, Hollydale Road, London, SE15 2EB",GOOD,2.00E+11,"ST. THOMAS THE APOSTLE COLLEGE, HOLLYDALE ROAD, LONDON, SE15 2EB",-0.056339141,51.47074267
"Cheung's, 289 Rye Lane, London, SE15 4UA",GOOD,2.00E+11,"CHEUNG TAKE AWAY, 289, RYE LANE, LONDON, SE15 4UA",-0.065688062,51.46587938
